Accuracy,Weighted Kappa,HL_Size,Initial Learning Rate,Learning Rate,Momentum
0.382333333,0.329875585,15,0.05,constant,0.9
0.386,0.329870504,15,0.05,adaptive,0.1
0.402333333,0.34484461,15,0.05,adaptive,0.3
0.377666667,0.314778436,15,0.05,adaptive,0.5
0.395,0.341492142,15,0.05,adaptive,0.7
0.377333333,0.311485603,15,0.05,adaptive,0.9
0.4,0.339944895,15,0.1,constant,0.1
0.393666667,0.307977278,15,0.1,constant,0.3
0.376,0.318810378,15,0.1,constant,0.5
0.383666667,0.313235139,15,0.1,constant,0.7
0.385,0.310333347,15,0.1,constant,0.9
0.389333333,0.332445228,15,0.1,adaptive,0.1
0.394333333,0.332014907,15,0.1,adaptive,0.3
0.399,0.340994381,15,0.1,adaptive,0.5
0.378,0.324219246,15,0.1,adaptive,0.7
0.390333333,0.329369936,15,0.1,adaptive,0.9
0.368333333,0.333789633,15,0.5,constant,0.1
0.380666667,0.293016745,15,0.5,constant,0.3
0.376,0.330502221,15,0.5,constant,0.5
0.383333333,0.293354347,15,0.5,constant,0.7
0.357,0.265561796,15,0.5,constant,0.9
0.391666667,0.328129206,15,0.5,adaptive,0.1
0.404666667,0.34719377,15,0.5,adaptive,0.3
0.389333333,0.317722312,15,0.5,adaptive,0.5
0.389,0.341789745,15,0.5,adaptive,0.7
0.394333333,0.344221308,15,0.5,adaptive,0.9
0.372666667,0.300449533,15,0.9,constant,0.1
0.378333333,0.272189014,15,0.9,constant,0.3
0.379666667,0.276743116,15,0.9,constant,0.5
0.381333333,0.317662935,15,0.9,constant,0.7
0.269333333,0,15,0.9,constant,0.9
0.389666667,0.342728042,15,0.9,adaptive,0.1
0.381666667,0.32673537,15,0.9,adaptive,0.3
0.386666667,0.34253275,15,0.9,adaptive,0.5
0.38,0.326806795,15,0.9,adaptive,0.7
0.28,0,15,0.9,adaptive,0.9
0.354666667,0.240219798,50,0.001,constant,0.1
0.372666667,0.256357027,50,0.001,constant,0.3
0.367,0.27986424,50,0.001,constant,0.5
0.393333333,0.320363558,50,0.001,constant,0.7
0.400333333,0.339650904,50,0.001,constant,0.9
0.365666667,0.243968356,50,0.001,adaptive,0.1
0.367333333,0.256651755,50,0.001,adaptive,0.3
0.377333333,0.284865997,50,0.001,adaptive,0.5
0.396333333,0.307774056,50,0.001,adaptive,0.7
0.401,0.33767549,50,0.001,adaptive,0.9
0.399333333,0.336634488,50,0.01,constant,0.1
0.393666667,0.343124737,50,0.01,constant,0.3
0.385666667,0.321976539,50,0.01,constant,0.5
0.381666667,0.3187021,50,0.01,constant,0.7
0.376666667,0.306198626,50,0.01,constant,0.9
0.394,0.335008784,50,0.01,adaptive,0.1
0.392,0.326289259,50,0.01,adaptive,0.3
0.388,0.33604402,50,0.01,adaptive,0.5
0.380666667,0.318080005,50,0.01,adaptive,0.7
0.365,0.299433467,50,0.01,adaptive,0.9
0.383,0.317155803,50,0.05,constant,0.1
0.375,0.293613548,50,0.05,constant,0.3
0.375,0.294089722,50,0.05,constant,0.5
0.374,0.280755639,50,0.05,constant,0.7
0.364666667,0.279417212,50,0.05,constant,0.9
0.368333333,0.305130476,50,0.05,adaptive,0.1
0.381,0.307303562,50,0.05,adaptive,0.3
0.390666667,0.327589133,50,0.05,adaptive,0.5
0.363333333,0.292895511,50,0.05,adaptive,0.7
0.359666667,0.27983422,50,0.05,adaptive,0.9
0.380333333,0.318547922,50,0.1,constant,0.1
0.376333333,0.316238968,50,0.1,constant,0.3
0.363,0.296429057,50,0.1,constant,0.5
0.374333333,0.310506619,50,0.1,constant,0.7
0.362666667,0.283841456,50,0.1,constant,0.9
0.375,0.313471244,50,0.1,adaptive,0.1
0.377,0.307693245,50,0.1,adaptive,0.3
0.365333333,0.289333896,50,0.1,adaptive,0.5
0.357333333,0.28011611,50,0.1,adaptive,0.7
0.369,0.298372657,50,0.1,adaptive,0.9
0.357,0.237360754,50,0.5,constant,0.1
0.359,0.301754469,50,0.5,constant,0.3
0.356,0.298246982,50,0.5,constant,0.5
0.363333333,0.261820397,50,0.5,constant,0.7
0.383333333,0.294462858,50,0.5,constant,0.9
0.362333333,0.278496116,50,0.5,adaptive,0.1
0.349333333,0.263138841,50,0.5,adaptive,0.3
0.353666667,0.277686311,50,0.5,adaptive,0.5
0.361,0.271690647,50,0.5,adaptive,0.7
0.371,0.29969108,50,0.5,adaptive,0.9
0.345333333,0.286335587,50,0.9,constant,0.1
0.358,0.273444929,50,0.9,constant,0.3
0.375666667,0.266127372,50,0.9,constant,0.5
0.357666667,0.292303882,50,0.9,constant,0.7
0.332,0.204288311,50,0.9,constant,0.9
0.361333333,0.273485445,50,0.9,adaptive,0.1
0.362,0.289807943,50,0.9,adaptive,0.3
0.367666667,0.269445434,50,0.9,adaptive,0.5
0.374666667,0.313463987,50,0.9,adaptive,0.7
0.386333333,0.335704612,50,0.9,adaptive,0.9
0.361,0.23913848,100,0.001,constant,0.1
0.369333333,0.267468297,100,0.001,constant,0.3
0.389,0.302444054,100,0.001,constant,0.5
0.395,0.324378756,100,0.001,constant,0.7
0.393,0.319572323,100,0.001,constant,0.9
0.362,0.251147584,100,0.001,adaptive,0.1
0.377666667,0.271166715,100,0.001,adaptive,0.3
0.377,0.28530575,100,0.001,adaptive,0.5
0.399666667,0.322428316,100,0.001,adaptive,0.7
0.396,0.336064393,100,0.001,adaptive,0.9
0.394666667,0.348564222,100,0.01,constant,0.1
0.398666667,0.347037045,100,0.01,constant,0.3
0.385,0.329410078,100,0.01,constant,0.5
0.384333333,0.318782954,100,0.01,constant,0.7
0.35,0.264507102,100,0.01,constant,0.9
0.398666667,0.349240519,100,0.01,adaptive,0.1
0.394333333,0.339248668,100,0.01,adaptive,0.3
0.389333333,0.326384034,100,0.01,adaptive,0.5
0.375666667,0.306645201,100,0.01,adaptive,0.7
0.356,0.264524347,100,0.01,adaptive,0.9
0.377,0.324114912,100,0.05,constant,0.1
0.372,0.299350411,100,0.05,constant,0.3
0.365666667,0.306682408,100,0.05,constant,0.5
0.366333333,0.272572136,100,0.05,constant,0.7
0.338666667,0.233842602,100,0.05,constant,0.9
0.375333333,0.322336119,100,0.05,adaptive,0.1
0.37,0.305020733,100,0.05,adaptive,0.3
0.377666667,0.304402338,100,0.05,adaptive,0.5
0.356333333,0.278363684,100,0.05,adaptive,0.7
0.350666667,0.268512321,100,0.05,adaptive,0.9
0.368666667,0.299664067,100,0.1,constant,0.1
0.349,0.277807197,100,0.1,constant,0.3
0.359666667,0.28026581,100,0.1,constant,0.5
0.353333333,0.283828828,100,0.1,constant,0.7
0.348666667,0.245672609,100,0.1,constant,0.9
0.360666667,0.322259136,100,0.1,adaptive,0.1
0.365666667,0.294147544,100,0.1,adaptive,0.3
0.366333333,0.293446109,100,0.1,adaptive,0.5
0.343333333,0.234192502,100,0.1,adaptive,0.7
0.352666667,0.251483896,100,0.1,adaptive,0.9
0.364333333,0.279733097,100,0.5,constant,0.1
0.333666667,0.243824145,100,0.5,constant,0.3
0.345666667,0.261923214,100,0.5,constant,0.5
0.351,0.257123393,100,0.5,constant,0.7
0.380333333,0.284977431,100,0.5,constant,0.9
0.348666667,0.27260165,100,0.5,adaptive,0.1
0.346666667,0.2442787,100,0.5,adaptive,0.3
0.344,0.267097685,100,0.5,adaptive,0.5
0.346666667,0.228756287,100,0.5,adaptive,0.7
0.361,0.270723307,100,0.5,adaptive,0.9
0.35,0.236313548,100,0.9,constant,0.1
0.336333333,0.23987976,100,0.9,constant,0.3
0.354666667,0.265200084,100,0.9,constant,0.5
0.345333333,0.241350147,100,0.9,constant,0.7
0.346666667,0.135206044,100,0.9,constant,0.9
0.349666667,0.251459202,100,0.9,adaptive,0.1
0.358,0.25457385,100,0.9,adaptive,0.3
0.377666667,0.282480209,100,0.9,adaptive,0.5
0.368,0.286944859,100,0.9,adaptive,0.7
0.392666667,0.329005101,100,0.9,adaptive,0.9
