Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 2, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.35833333333333334, Weighted Kappa: 0.21062781799883834, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.36566666666666664, Weighted Kappa: 0.246870544135527, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.36466666666666664, Weighted Kappa: 0.2380422229792042, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.38166666666666665, Weighted Kappa: 0.29108894668933183, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3953333333333333, Weighted Kappa: 0.3294855351289725, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.3426666666666667, Weighted Kappa: 0.18764019070199822, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3586666666666667, Weighted Kappa: 0.2175978257764647, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.362, Weighted Kappa: 0.23167616427588922, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37533333333333335, Weighted Kappa: 0.2682340785948557, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.36766666666666664, Weighted Kappa: 0.27559272267149004, Hidden Layer Size: 5, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.3873333333333333, Weighted Kappa: 0.2890013251415492, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.395, Weighted Kappa: 0.3198100818264471, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.396, Weighted Kappa: 0.33148578231425285, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.39966666666666667, Weighted Kappa: 0.3339753602593163, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.388, Weighted Kappa: 0.33455918894742065, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.39666666666666667, Weighted Kappa: 0.325698023764321, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3913333333333333, Weighted Kappa: 0.3022353055348881, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.392, Weighted Kappa: 0.33479138230122607, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.377, Weighted Kappa: 0.28649464360100907, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.3953333333333333, Weighted Kappa: 0.3320246511918914, Hidden Layer Size: 5, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.38866666666666666, Weighted Kappa: 0.317703181339545, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.3913333333333333, Weighted Kappa: 0.3389180892932169, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.4013333333333333, Weighted Kappa: 0.35962661738989055, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.39166666666666666, Weighted Kappa: 0.3342481720447885, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.378, Weighted Kappa: 0.3149625112352519, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.395, Weighted Kappa: 0.33081670608768443, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3933333333333333, Weighted Kappa: 0.34351634851265134, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.39766666666666667, Weighted Kappa: 0.3369330453563715, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.38333333333333336, Weighted Kappa: 0.33702821903906954, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.37133333333333335, Weighted Kappa: 0.2854243762683538, Hidden Layer Size: 5, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.38966666666666666, Weighted Kappa: 0.30181300557906754, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.37733333333333335, Weighted Kappa: 0.28565056338847616, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.383, Weighted Kappa: 0.3533027251184834, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.39566666666666667, Weighted Kappa: 0.3488315242034373, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3883333333333333, Weighted Kappa: 0.32894636808271605, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.377, Weighted Kappa: 0.2947273824032697, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.392, Weighted Kappa: 0.33589945011783195, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.3983333333333333, Weighted Kappa: 0.3380257821952305, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.39466666666666667, Weighted Kappa: 0.334783214401808, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.38166666666666665, Weighted Kappa: 0.32100658919093117, Hidden Layer Size: 5, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.38866666666666666, Weighted Kappa: 0.31826882061490336, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.39266666666666666, Weighted Kappa: 0.3495772251963776, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.39, Weighted Kappa: 0.32846893046541525, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.36433333333333334, Weighted Kappa: 0.33381901733051267, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.35433333333333333, Weighted Kappa: 0.2868963966931898, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.39566666666666667, Weighted Kappa: 0.33709126738617345, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.39, Weighted Kappa: 0.3353574536670271, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.38533333333333336, Weighted Kappa: 0.3337797120857049, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.385, Weighted Kappa: 0.30484412761623925, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.3546666666666667, Weighted Kappa: 0.2981767442583574, Hidden Layer Size: 5, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.39166666666666666, Weighted Kappa: 0.35249083259636416, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.38133333333333336, Weighted Kappa: 0.30737340936600954, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.35833333333333334, Weighted Kappa: 0.2712290078382654, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.28, Weighted Kappa: 0.0011282483634199592, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.395, Weighted Kappa: 0.3352298776258714, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3606666666666667, Weighted Kappa: 0.31293373154113513, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.36833333333333335, Weighted Kappa: 0.2943470724191064, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37466666666666665, Weighted Kappa: 0.2541328280450803, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.28, Weighted Kappa: 0.0, Hidden Layer Size: 5, Initial Learning Rate: 0.9, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.3433333333333333, Weighted Kappa: 0.18660948955595513, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.36033333333333334, Weighted Kappa: 0.24395449553451165, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.3626666666666667, Weighted Kappa: 0.2523583798751583, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.385, Weighted Kappa: 0.2921584767033083, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.392, Weighted Kappa: 0.3338367108339829, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.354, Weighted Kappa: 0.22289632041037777, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.3586666666666667, Weighted Kappa: 0.24114467715471477, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.3576666666666667, Weighted Kappa: 0.2368003588010067, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.373, Weighted Kappa: 0.2737042255226898, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.388, Weighted Kappa: 0.3131633622702894, Hidden Layer Size: 10, Initial Learning Rate: 0.001, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.39066666666666666, Weighted Kappa: 0.31897701263807343, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.3983333333333333, Weighted Kappa: 0.3433843438018107, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.39766666666666667, Weighted Kappa: 0.31853557299435764, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.388, Weighted Kappa: 0.3061410504728267, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.38866666666666666, Weighted Kappa: 0.3071676153528159, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.39466666666666667, Weighted Kappa: 0.3322135553874128, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.398, Weighted Kappa: 0.32572303789592083, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.39266666666666666, Weighted Kappa: 0.33351006784195103, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.393, Weighted Kappa: 0.3371154163037594, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.38533333333333336, Weighted Kappa: 0.3209328742323666, Hidden Layer Size: 10, Initial Learning Rate: 0.01, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.389, Weighted Kappa: 0.30935881710294333, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.39466666666666667, Weighted Kappa: 0.3522018576087578, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.38466666666666666, Weighted Kappa: 0.31987451205785855, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.38966666666666666, Weighted Kappa: 0.312791355987328, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3953333333333333, Weighted Kappa: 0.3474626278520849, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.391, Weighted Kappa: 0.3352824231084084, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.38466666666666666, Weighted Kappa: 0.33177523817069066, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.38533333333333336, Weighted Kappa: 0.33510829675469533, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.37466666666666665, Weighted Kappa: 0.3047523702962134, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.3863333333333333, Weighted Kappa: 0.3261072608685416, Hidden Layer Size: 10, Initial Learning Rate: 0.05, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.3893333333333333, Weighted Kappa: 0.2822229122819123, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.388, Weighted Kappa: 0.3216030978929546, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.3923333333333333, Weighted Kappa: 0.31047045194988065, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.39166666666666666, Weighted Kappa: 0.31687964753493747, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.38266666666666665, Weighted Kappa: 0.3231081725288618, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.4, Weighted Kappa: 0.33525207311352634, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.1
Accuracy: 0.392, Weighted Kappa: 0.3497204054614791, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.3
Accuracy: 0.392, Weighted Kappa: 0.33247138821050626, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.5
Accuracy: 0.3903333333333333, Weighted Kappa: 0.3361022313278753, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.7
Accuracy: 0.39, Weighted Kappa: 0.3517669242488062, Hidden Layer Size: 10, Initial Learning Rate: 0.1, Learning Rate: adaptive, Momentum: 0.9
Accuracy: 0.38866666666666666, Weighted Kappa: 0.33717516581493967, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.1
Accuracy: 0.36866666666666664, Weighted Kappa: 0.27445182596674467, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.3
Accuracy: 0.387, Weighted Kappa: 0.2762891416108427, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.5
Accuracy: 0.37066666666666664, Weighted Kappa: 0.30985749617241787, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.7
Accuracy: 0.3943333333333333, Weighted Kappa: 0.29328568854723436, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: constant, Momentum: 0.9
Accuracy: 0.39666666666666667, Weighted Kappa: 0.3201261741529221, Hidden Layer Size: 10, Initial Learning Rate: 0.5, Learning Rate: adaptive, Momentum: 0.1
